[0.6834602],[0.6743739],[0.6706065],[0.6588609],[0.6630716],[0.67592525],[0.6683165],[0.66115093],[0.6664697],[0.6918076],[0.66986775],[0.6558322],[0.6785107],[0.62672675],[0.6679471],[0.6131344],[0.65509343],[0.6304942],[0.6936544],[0.7054],[0.69062567],[0.6986038],[0.6887789],[0.67511266],[0.6804314],[0.7073207],[0.69099504],[0.6918076],[0.66683906],[0.6834602]
[0.6697241],[0.7032554],[0.6543869],[0.647019],[0.6720547],[0.64859784],[0.6343132],[0.61243516],[0.6101045],[0.6558905],[0.7067138],[0.76558155],[0.7609954],[0.7929479],[0.7667844],[0.7459589],[0.74520713],[0.74520713],[0.7594166],[0.6959627],[0.6501015],[0.66167957],[0.7182919],[0.73287725],[0.7105481],[0.7282911],[0.7282911],[0.70904446],[0.6870912],[0.6836328]
[0.5477043],[0.5262297],[0.51988953],[0.51937824],[0.5314449],[0.6178546],[0.6487371],[0.72461396],[0.7502812],[0.7293179],[0.73770326],[0.8324982],[0.8450762],[0.760814],[0.8052971],[0.8016157],[0.79793435],[0.7697106],[0.77697104],[0.81204623],[0.78954905],[0.7932304],[1.0356888],[1.0937724],[1.0100214],[1.0298599],[1.0817057],[1.086921],[1.1759894],[1.1518561]
[1.1890787],[1.1142243],[1.1367215],[1.184886],[1.1602414],[1.1540035],[1.2256877],[1.2162797],[1.2822374],[1.2649555],[1.2990081],[1.2466509],[1.336742],[1.3183352],[1.3528991],[1.3995296],[1.3706923],[1.3948257],[1.435116],[1.430412],[1.5293998],[1.7063094],[1.6294099],[1.4973924],[1.5032212],[1.5592597],[1.5728602],[1.5450455],[1.4634421],[1.4461602]
[1.1558261],[1.1838261],[1.2346087],[1.2604347],[1.1856521],[1.2247826],[1.2386087],[1.2074783],[1.2266088],[1.2413044],[1.2127826],[1.1806957],[1.284],[1.276],[0.84591305],[0.43721738],[0.14513044],[-0.06991304],[0.00669565],[0.02008696],[0.05165217],[0.04408696],[0.01113043],[0.19634783],[0.2635652],[0.24043478],[0.24],[0.28678262],[0.2595652],[0.22217391]
[0.16510847],[0.17463742],[0.16109313],[0.16235167],[0.14916697],[0.12123936],[0.15989453],[0.20316432],[0.19854969],[0.23720485],[0.35107276],[0.36701426],[0.36269927],[0.41393983],[0.36395782],[0.41579768],[0.42286947],[0.42286947],[0.41765553],[0.430181],[0.42838308],[0.43605417],[0.38355508],[0.40105477],[0.41669664],[0.2731032],[0.2900036],[0.31391585],[0.2994726],[0.27064607]
[0.26672384],[0.2798742],[0.26260722],[0.27489993],[0.24768439],[0.24591196],[0.2535163],[0.2959977],[0.34076616],[0.35688967],[0.36157805],[0.37324184],[0.35014293],[0.38147512],[0.3436821],[0.35248715],[0.34894225],[0.32875928],[0.33493423],[0.3483705],[0.3483705],[0.34545454],[0.35100058],[0.35128644],[0.3469411],[0.3399085],[0.3483705],[0.3551172],[0.33522013],[0.3574614]
[0.37267008],[0.3797027],[0.37793025],[0.44265294],[0.41600916],[0.4619783],[0.44734135],[0.44642654],[0.44762722],[0.40691823],[0.37884507],[0.32818753],[0.2579188],[0.27255574],[0.2822184],[0.2825043],[0.29805604],[0.2974271],[0.28953686],[0.28136078],[0.28073186],[0.27958834],[0.26643798],[0.25877646],[0.27141222],[0.27198398],[0.25877646],[0.26203546],[0.23453403],[0.2544311]
[0.23276158],[0.25323042],[0.24562608],[0.2441395],[0.2233848],[0.26289308],[0.22544311],[0.22309892],[0.22309892],[0.2359634],[0.2348199],[0.23333333],[0.22281304],[0.24271011],[0.18622069],[0.15517439],[0.17861634],[0.22864494],[0.214008],[0.18444826],[0.19702688],[0.21606633],[0.17364208],[0.1525443],[0.17975986],[0.15574615],[0.18124643],[0.18444826],[0.15809034],[0.17215551]
[0.15929103],[0.15694682],[0.16952544],[0.16952544],[0.05889079],[0.01086335],[0.02927387],[0.04774157],[0.01086335],[0.01172098],[-0.03304746],[-0.07318468],[-0.05180103],[-0.05500286],[-0.07610063],[-0.08370497],[-0.05820469],[-0.10914809],[-0.10182962],[-0.11532304],[-0.20371641],[-0.19291024],[-0.1922813],[-0.17913093],[-0.16861063],[-0.1864494],[-0.20663236],[-0.20548885],[-0.20754717],[-0.21806747]
